명칭,지역,주소,위도,경도,전화번호,내용,비용,이미지주소,카테고리,,,
대전시립미술관,대전,대전광역시 서구 둔산대로 155,36.3667991,127.3857407,042-270-7378,"대전시립미술관은 대전 중부권의 최초 공공미술관으로 지역미술은 물론 우리나라 현대미술의 발전에 기여하고, 시민 모두가 그 성과를 함께 누림으로써 보다 여유롭고 깊이 있는 삶을 공유하는 데 도움이 되고자 1998년에 설립되었다. 시설은 5개의 전시실 및 수장고, 강당, 세미나실을 갖추고 있다. 그 외엔 야외 분수대와 조각공원으로 구성되어 있다. 또한 공교육의 연계와 연장으로서 살아있는 교육의 장으로 활용되기 위하여 미술관이 단순히 작품을 감상하는 수동적인 미술문화에서 벗어나, 보다 적극적이고 능동적인 미술문화 향유의 방법을 제시하고, 사회교육기관으로서의 역할 확대를 위하여 여러 교육 및 체험 프로그램도 운영하고 있다. 2006년의 동양미술사를 시작으로 한국도자기의 역사, 서양미학사, 에칭과 북아트, 인체 크로키까지 많은 프로그램을 운영해왔다.
인근에는 한밭수목원, 대전시립연정국악원, 이응노미술관, 엑스포시민광장 등이 있다."," 어른(25~64세) : 개인 500원 / 단체 400원
어린이, 청소년, 군인(하사이사 군복 착용자) : 개인 300원 / 단체 200원
※ 무료
- 노인(65세 이상) 및 어린이(6세 이하), 장애인, 국가유공자, 독립유공자, 5.18민주유공자, 참전유공자, 고엽제후유의증환자증 소지자, 특수임무유공자 및 유가족증 소지자
- 다자녀 우대 '꿈나무사랑카드' 소지가족 전원, 대전광역시 명예시민증 소지자(배우자 포함), 투표 확인증 소지자(관람료 1회 한하여 선거일 후 3개월까지 유효)
- 문화가 있는 날(매월 마지막주 수요일)
※ 단, 특별전은 제외
※ 단체 20인 이상",https://www.daejeon.go.kr/images/dma/contents/img_010305.jpg,미술관,,,
이응노미술관,대전,대전광역시 서구 둔산대로 157 (만년동),36.3668425,127.3870299,042-611-9800,"대전 이응노미술관은 이 지역이 낳은 세계적인 작가 고암 이응노(1904-1989) 화백의 예술 연구와 전시를 맡아 이 시대 고암 정신을 확장하고 계승할 목적으로 2007년 5월 개관하였다. 이응노의 삶과 예술 활동을 재조명하고, 그의 예술세계를 연구함으로써 한국 미술의 발전에 기여하고자 하는 뜻을 내포하고 있다. 대전광역시 서구 만년동 396번지에 있으며, 지하 1층, 지상 2층 건물이다. 박물관 건축설계는 프랑스 건축가 로랑 보두앵이 맡았다. 2007년 5월 3일 개관하였고 개관 기념전으로 ‘고암, 예술의 숲을 거닐다-파리에서 대전으로’를 열었다. 그동안 잘 알려지지 않았던 고암 선생의 작품인 릴리프(종이 부조), 판화, 은지화, 페인팅, 몽돌 등 이응노 작품의 다양성에 초점을 두고 개관 3주년 기획전이 벌어지고 있다. 고암의 작품세계가 동양과 서양의 만남이었던 것처럼 이응노미술관의 건축물은 한국작가 이응노와 프랑스 건축가 로랑 보드앵의 만남이 자아낸 조화라는 점도 매우 흥미로운 일이다.

* 대전 이응노미술관이 건립되기까지 *
대전 이응노미술관의 청사진이 완성된 것은 고암 선생의 미망인 박인경 여사가 운영했던 서울 평창동의 이응노미술과의 폐관에 이은 2005년 9월이다. 평창동 미술관의 소장품을 인수한 대전시는 이응노미술관의 대전시대를 선포한 것이다. 미술관은 프랑스 건축가 로랑 보두앵의 설계로 2006년 말 완공되었다."," 개인 - 어른(25~64세) 1,000원 / 어린이,청소년 600원
단체(20인 이상) - 어른(25~64세) 800원 / 어린이,청소년 400원
※ 무료 : 노인(65세 이상) 및 유아(6세 이하), 장애인(1급~3급) 및 보호자, 국가유공자, 독립유공자, 5.18 민주 유공자, 다자녀 우대 ‘꿈나무 사랑카드’소지자 등
※ 기획전 또는 특별전시의 경우 별도의 관람료가 책정될 수 있음
※ 매월 마지막 수요일은 ‘문화가 있는 날’(무료 관람)",https://cdn.daejonilbo.com/news/photo/202112/1500202_369129_4918.jpg,미술관,,,
국립현대미술관,충북 청주,충청북도 청주시 청원구 상당로 314 (내덕동),36.6554335,127.4901913,043-261-1400,"국립현대미술관은 1969년 경복궁에서 개관한 이래로 2018년에는 충청북도 청주시 옛 연초제조창을 재건축한 국립현대미술관 청주를 개관하여 중부권 미술문화의 명소로 육성하고자 노력하고 있으며, 2019년에는 개관 50주년을 맞이하여 기념식을 개최하고 미술문화를 나누는 세계 속 열린 미술관으로 발돋움하고 있다. 국립현대미술관 청주는 미술관과 정부·미술은행 소장품을 바탕으로 형성된 국내 최초의 개방 수장고를 공개한다. 개방 수장고는 미술관의 기본 구성 요소인 소장품을 수장한 상태로 관람자에게 개방하는 것으로 방대한 양의 작품을 감상할 수 있을 뿐 아니라 미술관의 보이지 않는 기능까지 알 수 있는 확장된 개념의 미술관이라 할 수 있다.",무료,https://www.mmca.go.kr/upload/exhibition/2020/11/dse_2020111601311687119522.jpg,미술관,,,
쉐마미술관,충북 청주시,충청북도 청주시 청원구 내수읍 내수로 241,36.6950315,127.4997869,043-221-3269," 쉐마미술관의 ""Schema""는 쉐마미술관이 현대미술의 ‘창조의 샘’이라는 의미를 함의하고 있다. 쉐마미술관은 현대미술 작가이며 미술학 박사인 김재관 교수가 2009년 6월 고향 청주에 설립한 사립미술관이다. 쉐마미술관은 청주 지역의 현대미술의 발전을 위하여 새로운 현대미술의 정보를 제공하고 창의적인 작품전을 기획하여 지역 예술인뿐만 아니라 지역 시민들에게 좋은 작품을 감상할 수 있는 기회를 제공하고 있다. 또한 어린이들에게는 예술체험 교육을 통하여 상상력을 풍부하게 하여 창의력을 배양시키게 하고, 지역사회와 함께 문화 공동체로서의 프로젝트를 개발하고 실천함으로써 지역문화예술을 선도하는 역할을 한다. 뿐만 아니라 우수청년적가 공모전시, 국제교류전, 지역 간 교류전을 정기적으로 개최하고, 쉐마미술관 아트포럼을 운영하여 각종 전시와 워크숍을 갖고 미술관의 교육, 연구, 전시 기능을 확대시킨다.

또한, 지역의 문화사적 가치를 현대미술로 해석하는 프로젝트의 연구 활동을 실행함으로써 지역의 고유문화를 현대미술의 개념으로 재해석하고 재생산할 수 있도록 한다.

쉐마미술관은 관장 김재관 교수의 50여 년 간 창작해 온 수 백 점의 작품들과 기타 소장 작품 300여 점을 소장하고 있으며, 소장 작품전을 기획하여 이들 작품들을 정기적으로 전시하고 있다,","성인 : 2,000원 청소년 : 1,000원 어린이 : 1,000원 ※기획전 또는 특별전의 경우 별도의 관람료가 책정될 수 있습니다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/242/85438/87005/c/%EC%89%90%EB%A7%88%EB%AF%B8%EC%88%A0%EA%B4%80-%286%29-medium-size.jpg,미술관,,,
청주시립미술관,충북 청주시,충청북도 청주시 서원구 충렬로18번길 50 (사직동),36.6346792,127.4784035,043-201-2650,"청주시립미술관은 충청북도 청주시 서원구 사직동에 자리 잡고 있다. 지역을 대표하는 문화공간으로 시민들에게 다양한 미술을 향유할 수 있는 장을 제공하고 있다. 실험적이며 선도적인 창작활동을 펼친 작가들을 조명하고 동아시아 중심 청주를 목표로 운영한다. 4차 산업 혁명 시대 새로운 융합의 전시를 선도하며, 지역의 환경미술 분야에도 확장성을 지향한다. 차세대 한국미술을 이끌 작가들을 발굴 지원하는 창작스튜디오 운영으로 우리나라 미술의 발전과 중부권 미술 인구의 확산에도 노력하고 있다."," 개인 1,000원, 단체 700원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",https://cdn.jbnews.com/news/photo/201809/1219387_1020220_2136.jpg,미술관,,,
청주시립대청호미술관,충북 청주시,충청북도 청주시 상당구 문의면 대청호반로 721,36.5070855,127.4937073,?043-201-0910~4,"청주시립대청호미술관은 청주시를 대표하는 공립미술관으로 대청호 북쪽 문의문화재단지 안에 위치해 있다. 지역 미술문화의 체계적 연구와 수집, 보존하고 동시대 현대미술 흐름의 공유를 통해 대중과 소통하고 있으며, 2016년 청주시 사직동에 개관한 청주시립미술관의 분관이다.
총 3개의 전시실과 야외조각공원을 갖추고 있다. 전시실은 프로젝트 기획전으로 구성되는 1층 제1전시실과 일반 기획전이 열리는 2층 제2,3전시실이 있다. 3층은 교육을 포함한 복합공간으로, 대청호의 자연환경과 장소적 특성을 활용한 전시와 교육, 문화행사를 통해 다양한 문화 향유의 기회를 제공한다.
문의문화재단지와 주변 자연환경이 서로 어우러지도록 설계되어 있으며, 미술관을 방문하는 사람들에게 자연 속에서의 휴식과 예술작품이 주는 깊은 감동을 전한다."," 문의문화재단지 입장객에 한해 무료관람
[문의문화재단지 입장료]
개인 - 어른 1,000원 / 청소년 및 군인 800원 / 어린이 500원
단체 - 어른 800원 / 청소년 및 군인 600원 / 어린이 300원
※ 청주시민(주민등록지참)은 50%
※ 단체 20인 이상
※ 7세 미만의 어린이는 부모님의 동반 없이 입장 불가능",https://www.jbnews.com/news/photo/202102/1325874_1121902_5214.jpg,미술관,,,
채색도미술관아트샵,충북 충주시,충청북도 충주시 대소원면 수주길 42-1,36.8972722,127.8965931,043-853-7778,,무료,https://mblogthumb-phinf.pstatic.net/MjAxOTExMTlfMTIx/MDAxNTc0MDk5ODM3ODM5.Zr31Jyehl-DtPgCAnEbr7S_gVD7Ujn72ygqIJd31L8Ag.Xi6XAL-stJoAR1sN3ob1BSl6fwsuBqOAfS3uOXrpbKQg.JPEG.minjung2114117/0001.jpg?type=w800,미술관,,,
우민아트센터,충북 청주시,충청북도 청주시 상당구 사북로 164 우민타워 지하 1층,36.6445489,127.4890611,043-222-0357,"우민아트센터에서 격년제로 진행되는 ‘우민극장’은 시각예술의 공공적 기여와 창의적 소통을 지향하는 복합문화예술 프로그램으로 스크리닝(상영)을 기본으로 한다. 우민극장은 싱글 채널 비디오 작업에서 보여지는 이미지 정치학의 프로파간다의 장을 차용한 2012년 <만국박람회>를 시작으로, 2014년 예술의 사회적 역할에 대해 모색한 <의도적 긴장>에 이어 2016년 <사적인 광장>선보인다. 전시는 개인의 삶을 통해 사회적 문제를 바라보며 한 개인의 삶을 들여다보는 일이 그 시대적 상황을 유추하는 가장 큰 단서가 된다는 것에 착안하여 가장 개인적이고도 사적인 문제가 우리의 보편적 사회문제와 연동됨을 암시한다. 이러한 사적 문제와 공적인 문제의 연관성 자각에 대한 전시의 전제는 개인의 ‘사적’영역 라는 모호하고도 안일한 금긋기가 사회적 문제가 강권하는 연대적 책임감을 회피하는 변명으로 작동해 왔음을 자각하게 만든다. 이는 각자도생에 급급한 우리들에게 사회적 문제를 현실의 문제로 가깝게 이해하는 단초로서 작동됨을 드러낸다.",무료,https://mblogthumb-phinf.pstatic.net/MjAyMTA4MTNfMjYy/MDAxNjI4ODQxNTAxNzMz.CFKpgZllH6GBTyqV8UwxT1jxEAJkgRiYth4flqk0Nvcg.7FgQtQ6iecEgzBch_4E-LKhZq4LxJkDXRZUbpBTzd0Mg.JPEG.cbkb21/1.jpg?type=w800,미술관,,,
스페이스몸 미술관,충북 청주시,충청북도 청주시 흥덕구 풍년로 162 장호철아름다운치과,36.6133296,127.4255021,043-236-6622,"스페이스몸은 정신적인 표현에 대한 개념미술이 한창 유행하던 시절에 탄생했다. 정신적인 것보다 신체, 몸 같은 형태에서 우러나오는 것이 더 많은데, 스페이스몸은 너무 정신적인 것만을 추구하는 세태와 다른 이야기를 하고 싶었다. 

 

스페이스몸미술관은 2000년 갤러리 스페이스몸으로 시작하여 2005년에 미술관으로 등록하여 운영하고 있다. 처음에는 가경동터미널 근처에 자리한 전시장에서 시작했다. 지하에 자리한 전시장은 구획을 특이하게 구성하여 작가에게 매력적인 공간을 제공했다.  

 

전시장을 마련한 관장은 미술계 종사자가 아니지만, 오래전부터 작가를 직접 찾아가 만나고 대화하고 공부할 만큼 미술에 관심이 많고 조예가 깊다. 2005년에는 제2전시장, 제3전시장을 조성하고 미술관을 운영하기에 이르렀다. 제2?3전시장은 가경동 MBC 뒤쪽에 자리하지만, 한적한 시골 풍경이다.  ",무료,https://cdn.thecm.net/news/photo/201709/12721_9893_1445.jpg,미술관,,,
드림톡톡어린이미술관,충북 청주시,충청북도 청주시 서원구 가장로353번길 177-10,36.5855867,127.4817077,043-271-2710,"드림톡톡어린이미술관은 아이들이 건강하게 성장할 수 있도록 아이들과 함께하는 교육 프로그램을 운영하는 공간이다. 서울아동병원 지하에 공간을 마련해 청주어린이미술관이란 이름으로 출발했다. 이후 학교와 협력하여 공간을 마련해 운영하다가 2014년 독립 공간을 마련하면서 드림톡톡어린이미술관으로 이름을 변경하였다. 현재 청주시 장암동에 위치한 공간은 2016년에 조성하였다. 

 

아이들이 자유롭게 뛰고 만지고 느낄 수 있는 공간의 필요성에 따른 것이다. 드림톡톡어린이미술관 1, 2층은 전시장과 프로그램 공간으로 운영된다. 전시장에는 아이들의 정서와 환경, 생각이 고스란히 표현된 그림이 전시되어 있다. 대부분 프로그램에 참여한 아이들의 작품이다. 드림톡톡어린이미술관은 유치원, 초등학생을 대상으로 프로그램을 운영한다. 평일 미술영재교육과 토요일에 진행하는 미술학교를 유료로 진행하고 있다. 미술관 운영에 필요한 최소의 비용을 받고 있지만, 아이들과 부모가 함께 참여하는 다양한 축제, 체험 프로그램도 운영한다.   ",무료,https://www.cjculture42.org/admode/upload/board/place/3/main_732768271548831710.jpg,미술관,,,
