명칭,지역,주소,위도,경도,전화번호,내용,비용,이미지주소,카테고리,,,
동춘당,대전,대전광역시 대덕구 동춘당로 80,36.3647874,127.4411187,042-608-6574,"조선 효종 때 대사헌, 이조판서, 병조판서를 지낸 동춘당(同春堂) 송준길(1606∼1672) 선생의 별당으로 보물 제209호에 지정된 문화재이다.
늘 봄과 같다는 뜻의 동춘당은 그의 호를 따서 지은 것으로 이곳에 걸린 현판은 송준길 선생이 돌아가신 지 6년째 되는 해인 숙종 4년(1678)에 우암 송시열이 쓴 것이다.
이 공원에는 연못 3개소와 민속 그네, 팔각정과 화장실, 간이체육시설, 벤치, 음수대 등으로 꾸며져 있다. 그리고 매년 이곳에서는 갖가지 문화행사가 열린다.
4월에 열리던 동춘당 문화제는 2011년부터 10월에 구민 축제를 겸해서 열리고 있다.
동춘당 문화제는 동춘당 유학학술세미나, 숭모 제례, 휘호 대회, 한시백일장, 투호 놀이, 그네뛰기 등 우리 고장 유학자인 동춘당 송준길 선생의 학풍과 인격을 기리고, 주민화합과 일체감을 조성하기 위한 것이다.",무료,https://upload.wikimedia.org/wikipedia/commons/2/24/Dongchundang_01.JPG,유적지,,,
계족산성,대전,"대전광역시 대덕구 장동 ,읍내동, 법동, 이현동 일원",36.3947689,127.4536227,042-608-6572,"대전 계족산성은 대전시 대덕구에 솟은 계족산(420m) 정상부에 축조된 삼국시대 산성이다.
면적 52,896㎡, 길이 약 1,650m의 테뫼식 석축산성으로 백제가 쌓은 것으로 알려졌으나 6세기경에 신라에서 쌓았을 가능성이 높다는 의견도 있다. 높이는 약 7∼10m 가량 되며 동, 서, 남쪽에 문을 건설했다. 성 안에서는 삼국시대에 만든 큰 우물터가 발견되었고, 성내 건물터에서는 고려시대 기와편과 조선시대 자기편이 발견되어 조선시대까지 사용되었음을 알 수 있다. 축조 방법은 충북 보은의 신라 삼년산성과 같은 방식이며, 약간의 백제계 토기도 출토되어 축조 후 한때 백제가 점령했던 적도 있었음을 시사한다. 계족산성을 둘러싼 신라와 백제의 다툼은 지금 대한민국 국토 가운데에 있는 대전 지역이 삼국시대에는 국경지대였음을 말해준다. 이 산성은 이러한 역사적 가치를 인정받아 1991년 10월 25일에 사적으로 지정되었다.
대전 계족산성은 동쪽의 장동산림욕장이나 산디마을, 남쪽의 비래동, 북쪽의 이현동 등으로 이어진 등산로를 통해 접근할 수 있다. 인근 관광지로는 장동산림욕장, 산디마을 캠핑장, 이현동산성, 비래사, 옥류각 등이 있다.",무료,https://cdn.cctoday.co.kr/news/photo/202107/2145879_579040_3854.jpg,유적지,,,
회덕향교대성전,대전,대전광역시 대덕구 대전로1397번안길 126,36.6554335,127.4901913,042-608-6574,"회덕향교 대성전은 대전 대덕구 회덕향교 내에 있는 건물이다. 향교는 공자와 여러 성현에게 제사를 지내고 지방민의 교육과 교화를 위해 나라에서 세운 국립교육기관이다. 회덕향교는 조선 세종(재위 1418∼1450) 때에 처음 지었으나 임진왜란으로 불에 탄 것을 1600년(선조 33)에 다시 짓고 1812년(순조 12)에 수리하였다. 현재 남아 있는 건물로는 제사 공간인 대성전과 공부하는 공간인 명륜당, 동무, 서무 등이다. 그중 대성전은 공자와 그의 제자들을 비롯한 우리나라 성현들의 위패를 모시고 있으며, 문화재적 가치를 인정받아 1989년 3월 18일 대전광역시 문화재자료로 지정되었다.
인근에는 회덕향교 외에 계족산, 계족산성 등의 관광지가 있다.",무료,"https://media.triple.guide/triple-cms/c_limit,f_auto,h_1024,w_1024/899838f8-e389-4787-90ac-1398e799abb2.jpeg",유적지,,,
대전 소대헌 · 호연재 고택,대전,대전광역시 대덕구 동춘당로 70,36.3651294,127.4426017,,"대전 소대헌 · 호연재 고택은 대전광역시 대덕구 송촌동에 있는 조선시대의 가옥이다. 조선 후기의 대표적인 학자 동춘당 송준길의 둘째 손자인 송병하가 1674년(현종 15) 분가하여 건립한 가옥으로, 송병하의 아들 소대헌 송요화가 1714년(숙종 40) 현재의 위치로 옮겨 지었다. 큰집 격인 동춘당 종택과 함께 한 집안의 가계 계승, 충청 지역 명문가 집안으로서의 면모를 찾을 수 있고, 조선 중기의 원형이 잘 남아 있어 지역적 특색을 알 수 있다.",무료,https://isplus.com/data/isp/image/2020/08/10/ispd7d49071-aa2b-48cf-a951-70ec145b6010.jpg,유적지,,,
둔산선사유적지,대전,대전광역시 서구 대덕대로317번길 9 (월평동),36.3607227,127.3783182,042-270-2418,"둔산선사유적지는 대전 서구 둔산지구에서 출토된 선사시대 유적이다. 1991년 둔산지구 개발 도중 발굴되었는데, 우리나라에서는 처음으로 한 곳에서 구석기, 신석기, 청동기시대의 유적이 한꺼번에 발굴된 곳이다. 조사 결과 청동기시대 집터 3곳과 신석기시대의 움집터, 구덩이와 빗살무늬토기 조각 등의 유물이 발굴되었고 구석기 50여 점도 출토되었다. 이곳은 오래전부터 대전 지역에 인류가 마을을 이루고 살았음을 알려주는데, 특히 이 지역에서 갑천 주변의 얕은 구릉에 넓은 농경지와 풍부한 물을 배경으로 많은 주민이 살았던 사실을 알려준다. 이 유적은 이전 복원 후 선사유적공원으로 조성되었고, 그 가치를 인정받아 1992년 10월 28일 대전광역시 기념물로 지정되었다.
둔산선사유적지는 대덕대로를 통해 접근할 수 있으며, 고속도로는 경부고속도로 대전IC 및 신탄진IC와 호남고속도로 지선 유성IC가 가깝다. 대중교통은 대전도시철도 1호선 정부청사역을 이용할 수 있다. 주변에는 한밭수목원, 국립중앙과학관, 엑스포과학공원 등이 있다.",무료,https://upload.wikimedia.org/wikipedia/commons/e/ef/Dunsan_prehistoric_site_East_Entrance.jpg,유적지,,,
도산서원,대전,대전광역시 서구 남선로 8,36.3437141,127.3960264,042-486-7771,"도산서원(대전)은 조선 후기읜 인물 만회 권득기와 그의 아들 탄옹 권시를 추모하기 위해 세운 서원이다. 권득기는 예조좌랑을 지낸 뒤 도학을 공부한 인물이다. 권시도 학문이 뛰어나 여러 버슬을 지낸 후 낙향하여 고향인 이곳에서 학문에 힘썼다. 이 서원은 1693년(숙종 19)에 유림들이 뜻을 모아 세운 것으로, 1711년(숙종 37)에 나라에서 내린 현판을 받아 사액서원이 되었다. 사당 3칸, 묘문 3칸, 강당 4칸, 서재 3칸, 남재 4칸, 전사청 3칸 등 모두 23칸 규모를 가진 서원이었다고 하는데, 흥선대원군의 서원 철폐령으로 철거되었다. 그 뒤 1921년 단을 만들고 제사를 지냈으며, 1968년과 1973년 두 차례에 걸쳐 안동 권씨 문중에서 복원하였다. 그리하여 문화재적 가치를 인정받아 1989년 3월 18일에 대전광역시 문화재자료로 지정되었다. 지금은 음력 3월과 9월에 제사를 지내고 있다. 또한 안내원이 상주하며 관광객을 맞고 있으며 전통 민화를 체험하는 도산의 화공, 유생교육을 체험하는 유생의 하루, 예술 공연을 진행하는 도산 와유회, 도산서원에 대해 자세히 공부하는 도슨트 심화교육 프로그램 등이 진행되고 있다.",무료,https://pds.joongang.co.kr/news/component/joongang_sunday/202306/10/e88553a0-0f2b-49b0-97ea-f01368e56655.jpg,유적지,,,
봉소루,대전,대전광역시 중구 봉소루로 29,36.3090568,127.4409596,042-606-6283,"봉소루는 조선 인조 때 장례원판결사를 지낸 봉소재 남분붕(1605∼1674) 선생이 강학소를 지어 후학을 양성하던 곳이다. 남분붕의 본관은 고성, 자는 숙우, 호는 봉소재로서 조선 사림을 대표하는 유학자 정암 조광조의 학통을 이어 의리를 진작시키고 선비들의 슬기와 재능을 널리 열어주었다. 봉소루의 명칭은 원래 남분붕의 호를 따라 봉소재라고도 했다. 봉소는 봉황새의 보금자리라는 뜻이며 봉소재는 후진을 양성하는 교육도장이라는 의미를 담고 있다. 오늘날에는 복층 구조의 기와집 등이 남아있다. 1992년 10월에는 문화재적 가치를 인정받아 대전광역시 문화재자료로 지정되었다. 주변에는 보문산, 대전아쿠아리움, 한화생명이글스파크, 충무체육관 등이 있다.",무료,"https://media.triple.guide/triple-cms/c_limit,f_auto,h_1024,w_1024/4bb7cc87-9f35-479d-b968-c3a1790786e0.jpeg",유적지,,,
단재신채호선생가지,대전,대전 중구 단재로229번길 47 (어남동),36.2326488,127.4110479,042-606-6292,"1991년 대전광역시 기념물로 지정되었다. 1992년 발굴조사와 고증을 거쳐 ㄱ자형의 안채와 헛간을 복원하고, 1996년에 생가지 앞에 동상을 건립하였다.

신채호는 8세에 아버지를 여의자 할아버지를 따라 충청북도 청원군 낭성면 귀래리 고두미 마을로 옮겨 할아버지가 차린 서당에서 한문을 공부하였다. 19세 때 성균관(成均館)에 입학하여 26세에 박사가 되었다.

황성신문(皇城新聞)과 대한매일신보(大韓每日申報)를 통해 민족의식의 앙양과 독립정신의 고취에 힘썼으며, 28세(1907)에는 신민회(新民會)에 참여하여 국채보상운동(國債報償運動)을 적극 지원하였다.

1910년 한일합방(韓日合邦)이 되자 블라디보스토크로 망명하여 독립운동을 전개하면서 해조신문·대동공보·권업신문 등의 발행을 주도하였다. 1919년 임시정부가 수립되자 의정원(議政院) 전원위원장(全院委員長)에 선임되었다가 1921년 임시정부의 분열상을 보고 사직하였다.

1920년 북경에서 박용만 등과 군사통일촉진회(軍事統一促進會)를 조직하여 임시정부의 존재를 부정하고 이승만을 성토하였다. 1923년 1월 상해에서 국민대표회의 창조파 맹장으로 활동하다 결렬되자 북경으로 돌아와 다물단을 조직·주도하였다.

이 무렵 역사연구야말로 정치운동, 무장운동 못지않은 독립운동임을 깨닫고 국사연구를 본격화하였다. 1924년부터 동아일보 등에 게재한 「평양패수고(平壤浿水考)」, 「전후삼한고(前後三韓考)」, 「조선역사상 일천연래 제일대사건(朝鮮歷史上一千年來第一大事件)」 등의 논문을 발표하였다.

1925년부터는 무정부주의적 성향을 보여 1927년에는 무정부주의 동방연맹(無政府主義 東方聯盟)에 가입하였다. 이듬해 4월에는 북경에서 열린 조선인 무정부주의자 회의를 주도하기도 하였다. 1927년 신간회 결성 시에는 발기인으로 참여하였다.

1928년 대만의 기륭항(基隆港)에 상륙하다 일본 경찰에 체포되어 대련(大連)으로 호송되어 1929년 5월 9일 10년형의 언도를 받고 중사상범으로 다루어져 여순 감옥의 독방에 수감되어 복역하다 1936년 향년 57세로 옥사하였다. 1962년 대한민국건국훈장 복장(複章)이 수여되었다.",무료,https://www.djjunggu.go.kr/thumbnail/tursmCn/920_TUCN_202301161146134755.jpg,유적지,,,
창계숭절사,대전,대전광역시 중구 대둔산로137번길 67,36.2842998,127.3721616,042-606-6283,"창계숭절사는 조선 초기 세조 때 단종 복위를 시도한 취금헌 박팽년(1417~1456)과 사육신의 처형 소식을 듣고 자결한 청재 박심문(1408~1456)의 위패를 봉안하고 제향하는 곳이다. 창계숭절사는 1923년에 세운 사당으로, 숭고한 절의를 기리는 사당이라 하여 숭절사라 이름하였다. 1923년에 박심문의 후손들이 지역 사림들의 여론을 모아 세웠으며, 앞면 3칸 옆면 2칸의 기와집으로 구성되어 있다. 그 후 1989년 3월 18일에 문화재적 가치를 인정받아 대전광역시의 문화재자료로 지정되었다.
인근에는 뿌리공원, 대전오월드, 보문산 등이 있다.",무료,https://tong.visitkorea.or.kr/cms/resource/82/3059482_image2_1.JPG,유적지,,,
유회당,대전,대전광역시 중구 운남로85번길 32-20,36.5855867,127.4817077,042-606-6283,"유회당사당은 보문산 남쪽 기슭에 위치한 조선시대 문화재이다. 조선 영조 때 호조판서를 지낸 유회당 권이진(1668∼1734) 선생이 건물 뒤 산에 있는 부모의 묘에 제사를 지내면서 독서와 교육을 하기 위해 1714년(숙종 40)에 지었다.
유회는 [부모를 간절히 생각하는 효성스러운 마음을 늘 품고자]하는 뜻을 담고 있으며, 중국 명나라 때 학자인 전목제의 [명발불매 유회이인]이라는 시에서 따온 말이다. 유회당은 앞면 4칸, 옆면 2칸 건물로 활수담이라는 작은 연못 뒤쪽에 있다. 앞면과 양쪽 면에 난간이 돌려진 툇마루가 있고 가운데 넓은 대청마루를 중심으로 양쪽에 온돌방을 배치하였다. 기궁재는 유회당, 삼근정사 등을 관리하기 위한 재실 건물로, 제사나 종친회 등에 사용된다. 넓은 대청을 중심으로 안방, 건넌방, 부엌 등이 있다. 이곳은 문화재적 가치를 인정받아 1989년 3월 18일, 대전광역시의 유형문화재로 지정되었다.",무료,https://www.heritage.go.kr/unisearch/images/tangible_cult_prop/thumb/2023031016285800.jpg,유적지,,,
