휴양림_명칭,지역,휴양림_주소,위도,경도,전화번호,내용,비용,이미지주소
대전둘레산길,대전,대전 중구 문화동 산 18-1,36.301724,127.421545,042-270-5583,"산들이 길게 뻗어 대전을 감싸고 그 사이로 3대 하천인 대전천, 유등천, 갑천이 차례로 만나 금강으로 흐른다. 시내에서 바라보면 서쪽으로 금남정맥의 명산 계룡산을 배경으로 금수봉, 도덕봉이 삽재 건너 갑하산, 우산봉으로 이어져 북쪽의 금병산으로 흐른다. 동으로는 계족의 능선이 길게 뻗어 식장산에 우뚝 솟고 남에 보문산, 구봉산을 수놓으며 다시 서쪽의 빈계산, 금수봉, 도덕봉의 능선과 산길로 만나고 있다. 2004년 9월 19일부터 안내산행을 시작한 대전둘레산길잇기는 쉽게 찾아갈 수 있는 대전의 산들을 연결하여 많은 시민들이 대전 주변의 산을 한 바퀴 돌아보게 하려는 것이다. 대전을 둘러싸고 있는 산을 이어서 걸어보면 대전 전체의 다양한 모습을 조망할 수 있고, 대전이 얼마나 아름다운지 자연스럽게 느끼게 된다.
그러면서 자연환경을 소중히 여기게 되고 대전을 사랑하는 마음을 갖게 되지 않겠는가! 언제 어디서라도 주변을 살피면 항상 하늘금을 그으며 대전의 산들이 정답게 다가온다. 그 산을 보면서 기쁨을 느낀다면 대전의 산이 대전을 품고 있듯이 우리도 가슴 속에 대전의 산을 품게 되지 않겠는가! 이러한 뜻에서 약 300리에 달하는 대전둘레산길잇기(133km) 코스를 12개 구간으로 나누어 시민들이 쉽고 편하게 산행을 즐길 수 있도록 대중 교통편과 산행지도를 포함한 간략한 안내서를 만들었다. 많은 시민들이 이용하여 우리지역의 아름다운 산들이 온전하게 시민의 품으로 돌아오기 바란다   산에서 산으로 이어지는 둘레산길은 한 구간 당 10㎞ 정도로 대략 7시간이 걸린다. 둘레산길은 대전을 둘러싸고 있는 보문산, 오도산, 만인산, 마들령, 식장산, 계족산, 구봉산, 계룡산 국립공원, 금병선, 갑하산, 빈계산, 방동저수지, 뿌리공원 등을 휘도는 방대한 거리이다. 대전 둘레산길을 지나는 사람들은 이때만큼은 자연의 일부가 된다. 문득 감회가 새롭다. 우리가 모르는 사이, 아름다움은 늘 그곳에 있었다.
내 집 뒷산도 대전의 일부였고, 내가 걷는 이 길도 대전을 빙 둘러 이어져 있다는 사실. 내 발로 꾹꾹 밟고 지난 길들이 계절마다 이렇게 예쁜 옷으로 갈아입는 것을 잊고 살았다는 생각에 저절로 마음이 숙연해진다.
저 아래 바쁘게 돌아가는 시계를 잠시 풀어놓고 자연의 일부가 되어 나무의 체온도 느껴보고, 바위 같았던 표정을 거둘 수 있는 곳. 그곳으로 가는 것이 바쁜 일상에 지친 사람들에게 가장 큰 선물일지 모른다.",무료,https://daejeontour.co.kr/upload/atch/tourspot/20220127094103333.jpg
대청호반,대전,대전광역시 동구 추동 328,36.3727738,127.4745761,042-930-7240,"대청호는 1980년 대청댐이 완공되면서 조성되어 대전광역시·청주시의 식수와 생활용수·공업용수를 공급하고 있다. 호수 위로 해발고도 200∼300m의 야산과 수목이 펼쳐져 드라이브 코스로 잘 알려져 있다. 철새와 텃새가 많이 날아들어 여름에는 상류에서 백로를 쉽게 볼 수 있다. 전망대에 오르면 주변 경관이 한눈에 내려다보이며, 1998년에 개관한 물홍보관은 입체 영상관과 수족관 등을 갖추고 있다. 주위에 잔디광장도 있다. 주변에 금강유원지·장계관광지·문의문화재단지 등이 있어 연계 관광이 가능하다. 찾아가려면 경부고속도로를 타고 가다가 신탄진 인터체인지로 나와 신탄진 4거리에서 대청댐 방면으로 가면 된다. 호수를 한 바퀴 돌아보려면 승용차로 3시간 정도 걸린다   대통령의 별장으로 잘 알려진 ‘청남대’가 자리한 대청호반, 그래서인지 청정자연의 모습이 그대로 보존된 이곳은 최근 청남대의 일반인 개방으로 더욱 유명세를 타고 있다. 1980년 12월, 충북 청원군 하석리와 대전 대덕구 신탄진동 사이 금강 본류를 가로지르는 댐이 만들어졌다. 천리의 비단물결을 막아선 이 댐은 대전과 청원의 경계에 세워져 대청댐이라는 이름이 붙었다.
대청호반은 총 저수용량이 14억 9,000만 톤으로 대전과 청주, 천안을 비롯한 충청지역 및 군산 등 전북일부 지역에 생·공용수를 금강하류와 미호천 유역에 농업용수를 공급하고 있다. 또한 홍수조절에 따른 댐 하류 홍수피해 경감과 수력발전을 통한 청정에너지를 생산한다.   호젓한 길 위에서 수면에 일렁이는 물소리가 들려온다. 발걸음을 멈추고 잠시 눈 앞에 나타나는 호수의 풍경을 감상해본다. 워낙 큰 규모의 댐이라서 호수에 잠긴 산봉우리가 육지 속의 다도해 풍경이다. 데크길로 이어진 산책코스를 따라 조용히 사색을 즐기는 사람들의 모습도 호수와 어우러져 그대로가 한 폭의 수채화를 이루고 있다.
전국 3대 호수 중에 하나로 꼽히는 ‘대청호’는 그 둘레가 무려 500리나 된다. 굽이굽이 500리 가운데 대전 대덕구와 동구 지역을 지나는 구간에 조성된 것이 ‘대청호반길’이다. 다른 올레길과는 다르게 대청호반길은 대부분 평지를 걷기 때문에 큰 부담이 없는게 장점으로 가족들의 모습도 간간히 보인다. 더욱이 각 코스마다 주제가 있어 지루하 지 않게 둘러볼 수 있고 평화로이 산책을 즐기는 이들에게 사랑받을 만한 코스가 이어진다.
호수와 강, 산, 나무를 모두 끼고 주변에 무리지어 핀 갈대숲의 아름다움, 수면 위를 박차고 올라온 고사목의 고즈넉함, 호수를 방문한 한 쌍의 철새들의 신비로움이 어우러지는 풍경 속에 묻혀서 걷고 있노라니 때마침 시원한 바람이 불어와 이마의 땀을 씻어준다. 자전거나 차량을 이용해 데이트를 즐기기에도 좋은 드라이브 코스다.
특히, 식장산 인근에서 대청댐까지 연결되는 ‘국화향 연인 길’은 연인들의 데이트 코스로 각광을 받는다. 이러한 아름다움을 간직한 대청호는 지역 예술인들의 화실이 많고 국화축제가 열렸던 생태공원, 드라마 ‘슬픈연가’의 촬영지로도 유명하다. 그중에서도 환상적인 벚꽃으로 터널을 만들어내는 드라이브코스는 이성에게 사랑을 고백하게 만드는 신비로움을 전해준다. 또 여름엔 호수의푸른 물과 녹음이 어우러져 시원함을 더해주고 가을에는 억새의 쓸쓸함으로 사색을 유도하는 대청호. 물안개와 눈꽃이 조화를 이루며 한해의 아름다움을 마음껏 자랑한다.   주변에 볼거리도 많다. 대청호반 인근에 위치한 문의문화재단지, 대청호미술관,현암사, 작은 용굴, 청남대, 벌랏마을 등 많은 관광지가 위치해 있으며, 관광객 및 시민들에게 편안한 휴식공간과 볼거리를 제공하고있다. 그래서인지 아이들의 손을 잡고 멈추는 곳곳이 바로 현장학습공간, 자연생태학교가 된다.
대청호반 가는 길은 경부고속도로 신탄진나들목에서 나가 17번 국도를 타고 청주 쪽으로 가다 대청댐 팻말을 보고 32번 지방도로 우회전해 대청댐으로 간다.신탄진나들목에서 문의면 소재지까지 약 15㎞.어린 아이가 있다면, 호수의 풍경과 조형물이 어우러지는 대청댐광장에서 소풍놀이를 즐겨도 좋다.",무료,https://daejeontour.co.kr/upload/atch/tourspot/20220127094839284.jpg
계족산 황톳길,대전,대전 대덕구 장동 453-1,36.4055576,127.4429428,042-623-9909,"여행 전문기자들이 선정한 ‘다시 찾고 싶은 여행지 33선(2008년)’과 한국관광공사가 선정한 ‘5월에 꼭 가봐야 할 명소(2009년)’ ‘한국관광 100선(2014~2015년)’에 빛난 계족산 황톳길. 계족산(429m) 장동산림욕장에서 시작해 임도삼거리와 절고개를 거쳐 이현동 갈림길까지 총 14.5㎞를 맨발로 걷는 전국 최초의 건강여행길이다. 발은 신체 각 기관과 연결되어 있어 우리 몸의 축소판이라 불린다. 맨발로 계족산 황톳길을 걸으면 발바닥을 자극해 그에 상응하는 신체기관 건강을 유지하는 데 도움을 준다.   특히 혈액순환에 도움을 줘 체온이 상승하고 면역력이 강해져 질병을 예방할 수 있다. 2010년에는 유엔환경어린이회의에 참석한 100개국 500여 명의 외국 어린이들과 세이셸공화국 미셸 대통령이 맨발로 걷고 극찬한 곳이기도 하다. 매년 5월 둘째 주 주말(토·일)엔 계족산 맨발축제가 열린다. 맨발마라톤, 숲속 맨발걷기, 숲속음악회 등 다양한 프로그램이 준비되어 있어 국내는 물론 해외에서도 수많은 마니아들이 찾는 대전의 대표 힐링 축제다.",무료,https://daejeontour.co.kr/upload/atch/tourspot/20220127095749244.jpg
장태산자연휴양림,대전,대전 서구 장안로 461,36.2187201,127.3401569,042-270-7883,"하늘 높이 솟은 메타세콰이어가 아름다운 장태산 자연휴양림. 전국 최초로 민간인이 조성하고 운영한 휴양림은 2002년 대전시가 인수한 후 새롭게 리모델링을 거쳐 2006년에 재개장했다. 자연 상태의 장태산을 배경으로 평지에 밤나무·잣나무·은행나무·소나무· 두충 등의 나무와 미국에서 들여온 메타세콰이어·독일 가문비나무 등의 외래 수종을 계획적으로 심어 숲을 조성했다.   휴양림은 아름다운 숲을 찾아온 방문객을 위해 생태연못, 교과서식물원, 숲 속 어드벤처 등 여러 시설도 준비해 놓았다. 단연 최고의 인기는 ‘숲 속 어드벤처’. 그 안에는 메타세콰이어 숲과 눈높이를 맞추며 걸을 수 있도록 설치된 ‘스카이웨이’와 아름다운 휴양림 전경을 볼 수 있는 스카이타워가 있어 방문객이 많이 찾는 코스 중 하나다. 또한 휴양림이 마련한 숲해설프로그램인 ‘숲체험’은 단체뿐만 아니라 가족 단위의 방문객도 신청할 수 있다. 숙박시설인 숲속의 집과 여러 편의시설도 구비돼 있어 자연을 벗 삼아 하룻밤 머물며 추억을 쌓기도 좋다.",무료,https://daejeontour.co.kr/upload/atch/tourspot/20220127095955486.jpg
보문산 숲 치유센터,대전,대전 중구 보문산공원로 440,36.3086728,127.423158,042-270-7861,"보문산 대사근린공원 옛 그린랜드 사무실을 리모델링한 '보문산 숲 치유센터'는 연면적 996.6㎡에 지하1층, 지상 2층 규모로 건립됐다. 지하 1층에 운동시설, 지상 1층에 사무실, 허브찻집, 족욕체험실이 마련됐다. 또 지상 2층에 실내교육실, 명상·요가실 등을 배치하여 시민들이 편리하게 이용할 수 있다",무료,https://img4.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202308/06/daejonilbo/20230806203731666qwgx.jpg
성북동산림욕장,대전,대전 유성구 성북로 463,36.3153522,127.2775277,042-825-3807,성북동산림욕장은 성북동 새뜸마을 서쪽에 있으며. 방동저수지에서 서북쪽으로 3.9km지점으로서 국유림 108ha와 사유림 91ha에 조성된 산림욕장이다. 1995년부터 조성을 시작하여 1996년 4월에 문을 열었으며. 도시의 일상에서 벗어나 사색하고 가족과 함께 산책하기에 좋은 산림욕장이다,무료,https://mblogthumb-phinf.pstatic.net/MjAyMDA1MjZfMjYy/MDAxNTkwNDY2MjA3NTY0.AlpGYtO5Se01qqDI5LYWsi6LFQ2ESsNJ-cpa--uiRYYg.TCdjwGvBuesTpWYtm1keSleCEMZMAlKDMEsOlSxp6CEg.JPEG.yuseonggu/10.jpg?type=w800
만인산 자연휴양림,대전,대전 동구 산내로 106,36.1993479,127.4491007,042-280-5523,"만인산 자연휴양림은 대전광역시와 충남 금산군 경계로서 대전역에서 17번 국도 17㎞ 지점에 위치해 있다. 주봉인 만인산을 비롯하여 봉수레골, 큰배골, 작은배골 등으로 이루어져 있으며, 조선시대에는 산세가 수려하여 태조대왕과 왕자의 태를 모시기도 하였던 곳이다. 골짜기에는 항상 맑은 물이 흘러 내리고, 활엽수가 울창한 산림을 이루고 있는 도시근교 휴양림으로 자연능선을 이용 가족휴양지구, 청소년지구, 피크닉지구 등으로 나누어져 조성되어 있어 도시민들의 쾌적한 휴식처이다. 만인산휴게소는 1990년도에 민간자본으로 건축된 자연휴양림의 편의 시설로서 건축 당시 전혀 산림훼손을 하지 않고 자연계곡을 그대로 이용 하여 골짜기에 테크시설을 만들고 지상2층, 반지하 1층으로 건축되 었으며, 주골조는 철근콘크리트조로 주재료는 목재로 건축하고 휴게소 앞에는 연못을 조성하여 자연경관과 조화되도록 건축함으로써 전문가 들로부터 우리나라의 휴게소 건축물중 가장 아름답고 훌륭한 건축물 이라는 극찬을 받고 있으며, 지금은 시민들이 여가를 보내기 위하여 즐겨찾는 명소로 정착하고 있다. 곳곳에 휴식용 벤츠, 편안한 쉼터가 설치되어 있어 풍광을 느끼면서 휴식을 취할 수 있으며, 그 중에서도 특히 만인루각은 만인산의 상징적인 휴양 건축물이며, 루정(樓亭)의 대표적 인 건축물로서 이루각의 건축은 서울 북악산 기슭에 있는 세검정(洗劍亭) 건축양식을 취하되 주골조는 철근콘크리트조로 지붕은 목조 와가 2층으로 응용 건축하여 한국 고유의 전통 건축양식의 아름다움을 최대한 살리면서 유지관리를 고려하여 건축되었다.",무료,https://blog.kakaocdn.net/dn/CCQZq/btrFKHsL0x0/mNppWDp3gtAoQyA5GzjLIK/img.jpg
계족산,대전,대전 대덕구 산디로 79-70,36.3360816,127.3599243,042-623-9909,계족산은 대전시 대덕구와 동구 경계를 이루는 산이다. 한자 그대로 닭의 다리라는 뜻으로 산의 모양이 닭다리를 닮아 계족산이라고 부른다. 주능선에서 지능선들이 닭발처럼 뻗어나간다. 이산의 우측 끝 가양공원부터 장동 삼림욕장까지 넓은 산책로가 있어서 자전거를 타거나 산책하는 시민들이 많다. 계족산성을 빨리 편하게 가고 싶다면 장동산림욕장이나 산디마을쪽으로 가는 것이 좋다. 산책로로 구성되어 있어 데이트 코스로도 좋은 곳이다. 황토길로 만들어서 맨발로 산책해도 좋은 길이다. 쉼터 앞 정자에서 보이는 계단은 계족산성으로 가는 길인데 여기서부터는 산책로가 아닌 등산로이다. 험하지 않아서 많은 힘 들이지 않아도 등산이 가능하여 가족끼리의 등산코스로도 좋은 곳이다.,무료,https://tong.visitkorea.or.kr/cms/resource/30/1585930_image2_1.jpg
계명산자연휴양림,충청북도,충청북도 충주시 충주호수로 1170 (종민동),36.97931666,127.9950872,043-840-7930,"경상북도 안동시 길안면 계명산 자락에 자리 잡은 계명산자연휴양림은 소나무와 낙엽활엽수인 참나무가 조화롭게 어우러져 있는 조용하고 아늑한 분위기의 휴양림이다.
휴양림 내에는 숲속의 집, 산림휴양관, 복합산림휴양관 등 22개의 객실과 깊은 숲속에 위치한 산막 7동을 비롯하여 야영장, 족구장, 야외 물놀이장, 유아숲체험원 등의 시설이 갖추어져 있으며, 특히 여름에는 숲 속 야외 물놀이장에서 아이들과 함께 여유롭게 물놀이를 즐길 수 있다.
인근에는 드라마 '미스터 션샤인' 촬영지로 유명한 만휴정과 묵계서원, 용계은행나무, 지례예술촌, 천지갑산 등이 있으며 그 외에도 도산서원, 봉정사, 하회마을 등의 관광지가 있다.",무료,https://www.tourandong.com/_cs_/thumb.cshtml/tour/633/%EC%82%AC%EC%A7%841.jpg?crop=470x350
문성자연휴양림,충청북도,충청북도 충주시 노은면 우성1길 191,37.02832486,127.7525206,043-870-7910,"문성자연휴양림은 중부내륙고속도로 북충주 IC에서 4Km쯤에 위치한 자주봉산 안에 위치하여 숲속의 아늑한 정취를 포근히 느낄 수 있는 곳으로, 주변에 앙성온천과 살미, 수안보온천 등이 위치하고 있어 온천 체험을 할 수 있으며, 내륙의 바다 충주호, 탄금호의 풍부한 수자원을 이용한 수상체험으로 국토의 중심부에서 색다른 체험관광을 즐길 수 있다. 또한 탄금대, 중앙탑, 남한의 유일한 고구려 비석인 중원고구려비 등 삼국시대 유적을 돌아볼 수 있으며, 새로이 조성된 고구려 천문대에서 별자리도 감상할 수 있는 위치에 있어 가족과 직장동료, 학생들에게도 좋은 휴양지이다.",무료,https://image.foresttrip.go.kr/frip/94ed1e16-bc5c-4d5e-8885-b031991589cf.bmp
